Reference, Value, Footprint, Datasheet, amoc
"U4","PIC16F18323-I/P","MCU_Microship:PIC16F1503-I_P","https://akizukidenshi.com/download/ds/microchip/PIC16(L)F18313_18323.pdf","I-13287"
"C9","0.1u","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","https://akizukidenshi.com/download/ds/murata/RDER72E104K2K1H03B.pdf","P-10147"
"C7","1000uF","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","https://akizukidenshi.com/download/35ZLH1000M.pdf","P-02722"
"R4","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","R-25103"
"R1","470","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","R-25471"
"R2","20K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","R-03940"
"Q1","2SK4017","FET:2SK4017_Q","","I-07597"
"C3","15p","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://akizukidenshi.com/download/ds/murata/RDE5C2A150J0K1C03.pdf","P-05108"
"C4","15p","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","https://akizukidenshi.com/download/ds/murata/RDE5C2A150J0K1C03.pdf","P-05108"
"Y1","32.768KHz","Crystal:Crystal_Round_D3.0mm_Vertical","https://akizukidenshi.com/download/ds/ablic/VT-200F.pdf","P-04005"
"R3","10M","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","https://akizukidenshi.com/download/ds/faithful/cf.pdf","R-14295"
"D1","D","D:1S4_V","https://akizukidenshi.com/download/1S4.pdf","I-00127"
"LED1","voltage","LED_THT:LED_D3.0mm","","I-11577"
"SW3","next","Button_Switch_THT:SW_PUSH_6mm","","P-03648"
"C5","0.1u","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","https://akizukidenshi.com/download/ds/murata/RDER72E104K2K1H03B.pdf","P-10147"
"D2","D","D:1S4_V","https://akizukidenshi.com/download/1S4.pdf","I-00127"
"U2","HT7750A","Package_TO_SOT_THT:TO-92L_Inline_Wide","https://akizukidenshi.com/download/ds/holtek/HT77XXA.pdf","I-02800"
"C1","22u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","P-03177"
"R6","470","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","R-25471"
"J3","pin_header","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","C-00167"
"SW2","enter","Button_Switch_THT:SW_PUSH_6mm","","P-03651"
"C10","0.1u","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","https://akizukidenshi.com/download/ds/murata/RDER72E104K2K1H03B.pdf","P-10147"
"SW1","reset","Button_Switch_THT:SW_PUSH_6mm","","P-03646"
"LED5","start","LED_THT:LED_D3.0mm","","I-11577"
"LED3","interval","LED_THT:LED_D3.0mm","","I-11577"
"LED2","water","LED_THT:LED_D3.0mm","","I-11577"
"LED4","wait","LED_THT:LED_D3.0mm","","I-11577"
"C2","47u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","https://akizukidenshi.com/download/ds/rubycon/PK_series.pdf","P-03179"
"L1","47uH","Inductor_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP","https://akizukidenshi.com/download/LHL08NB470K.pdf","P-04047"
"U1","HDSP-K123","green_pomp4:HDSP-K123","","I-10947"
"C8","0.1u","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","https://akizukidenshi.com/download/ds/murata/RDER72E104K2K1H03B.pdf","P-10147"
"U3","TM1640","MCU_Microship:DSPIC30F2010-20I_SO","https://akizukidenshi.com/download/ds/titanmicro/TM1640_V1.0_EN.PDF","I-13225"
"R5","470","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","","R-25471"
"C6","100uF","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","https://akizukidenshi.com/download/35ZLH100M.pdf","P-02724"
"J1","POWER","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical",""
"J2","MOTOR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
