*/////////////////////////////////////////////
* DIP
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン数	ピン間	列間	ピン直径
*----------------------------------------------------------------------------------
TLP621-1	I-07442		PC	DIL	4	2.54	7.62	0.5
TLP621-2	I-07443		PC	DIL	8	2.54	7.62	0.5
TLP785(GB_F)	I-07554		PC	DIL	4	2.54	7.62	0.5
LMC555CN	I-00130		IC	DIL	8	2.54	7.62	0.5
TD62003APG	I-09675		IC	DIL	16	2.54	7.62	0.5
TLP521-4	I-02888		PC	DIL	16	2.54	7.62	0.5
TD62083APG	I-09634		IC	DIL	18	2.54	7.62	0.5
NJM4580DD	I-00069		IC	DIL	8	2.54	7.62	0.5
NE555P		I-08344		IC	DIL	8	2.54	7.62	0.5
SN74HC00N	I-08594		IC	DIL	14	2.54	7.62	0.5
SDI260		I-06667		D	DIL	4	5.2	8	0.56
HA17555		I-09648		IC	DIL	8	2.54	7.62	0.5
SN74HC04N	I-08596		IC	DIL	14	2.54	7.62	0.5
FOD817B		I-06485		PC	DIL	4	2.54	7.62	0.5
LM393N		I-09658		IC	DIL	8	2.54	7.62	0.5
FOD817B300	I-06482		PC	DIL	4	2.54	7.62	0.5
TLP222AF	I-07330		PC	DIL	4	2.54	7.62	0.5
TLP627(F)	I-07552		PC	DIL	4	2.54	7.62	0.5
SN74HC14N	I-08879		IC	DIL	14	2.54	7.62	0.5
SN74HC595N	I-08605		IC	DIL	18	2.54	7.62	0.5
SN74HC74N	I-08597		IC	DIL	14	2.54	7.62	0.5
TLP222A-2F	I-07672		IC	DIL	8	2.54	7.62	0.5
AT93C46A_AT93C4_6D	I-01412		IC	DIL	8	2.54	7.62	0.5
CD74HC4511E	I-08878		IC	DIL	16	2.54	7.62	0.5
SN75176BP	I-07430		IC	DIL	8	2.54	7.62	0.5
LT1167CN8	I-02789		IC	DIL	8	2.54	7.62	0.5
LMC662CN	I-00067		IC	DIL	8	2.54	7.62	0.5
CD74HC4511E	I-08878		IC	DIL	16	2.54	7.62	0.5
LT1167CN8	I-02789		IC	DIL	8	2.54	7.62	0.5
NJM2732D	I-04723		IC	DIL	8	2.54	7.62	0.5
MUSES8920D	I-05418		IC	DIL	8	2.54	7.62	0.5
MODULE_M-05153	M-05153	IC	DIL	8	2.54	7.62	0.5
TD62783APG	I-05487		IC	DIL	18	2.54	7.62	0.5
NJM386BD	I-00022		IC	DIL	8	2.54	7.62	0.5
SN74HC02N	I-08595		IC	DIL	14	2.54	7.62	0.5
LM3915N-1	I-05182		IC	DIL	18	2.54	7.62	0.5
ADM3202AN	I-09001		IC	DIL	16	2.54	7.62	0.5
AT93C46A_AT93C46D	I-01412	IC	DIL	8	2.54	7.62	0.5
SDI2100		I-06320		D	DIL	4	5.0	8.0	0.56
NE555N(LM555)	I-00131		IC	DIL	8	2.54	7.62	0.5
LM358N		I-02324		IC	DIL	8	2.54	7.62	0.5
AT24C1024B-PU25	I-00187		IC	DIL	8	2.54	7.62	0.5
TLP250		I-02889		PC	DIL	8	2.54	7.62	0.5
LMC6482AIN	I-02469		IC	DIL	8	2.54	7.62	0.5
HT82V739	I-02796		IC	DIL	8	2.54	7.62	0.5
NJU7043D	I-06840		IC	DIL	8	2.54	7.62	0.5
TLP561J(CF)	I-07634		PC	DIL	6	2.54	7.62	0.5
OPA2134PA	I-03743		IC	DIL	8	2.54	7.62	0.5
LTC485CN8	I-02792		IC	DIL	8	2.54	7.62	0.5
TLP222G-2	I-07360		PC	DIL	8	2.54	7.62	0.5
SN74HC245N	I-08601		IC	DIL	20	2.54	7.62	0.5
TD62084APG	I-05485		TR	DIL	18	2.54	7.62	0.5
LM339		I-00436		IC	DIL	14	2.54	7.62	0.5
TBD62003APG	I-09943		TR	DIL	16	2.54	7.62	0.5
AT93C46(A)-10PI-2.7	I-00694	IC	DIL	8	2.54	7.62	0.5
TC74HC541AP	I-03632		IC	DIL	20	2.54	7.62	0.5
MCP4922-E_P	I-02090		IC	DIL	14	2.54	7.62	0.5
S7136		I-02425		IC	DIL	4	2.54	5.75	0.5
NJM386BD	I-02250		IC	DIL	8	2.54	7.62	0.5
TLP785(GR_F)	I-07553		PC	DIL	4	2.54	7.62	0.5
MCP3002-I_P	I-02584		IC	DIL	8	2.54	7.62	0.5
SN74HC244N	I-08600		IC	DIL	20	2.54	7.62	0.5
MCP23017-E_SP	I-09486		IC	DIL	28	2.54	7.62	0.5
MAX232N		I-02377		IC	DIL	16	2.54	7.62	0.5
24LC64-I_P	I-00194		IC	DIL	8	2.54	7.62	0.5
TLP785(BL_F)	I-09846		PC	DIL	4	2.54	7.62	0.5
TLP222GF	I-07331		PC	DIL	4	2.54	7.62	0.5
SN74HCU04N	I-08609		IC	DIL	14	2.54	7.62	0.5
SN74HC541N	I-08604		IC	DIL	20	2.54	7.62	0.5
TC74HC4066AP	I-05673		IC	DIL	14	2.54	7.62	0.5
NJM567D		I-04190		IC	DIL	8	2.54	7.62	0.5
ICL3232CPZ	I-02376		IC	DIL	16	2.54	7.62	0.5
TLP2630F	I-08254		PC	DIL	8	2.54	7.62	0.5
MCP3208-CI_P	I-00238		IC	DIL	16	2.54	7.62	0.5
